Article Page Name;Page #;Overall Ranking;Sector;Link to Writeup, References, and Errata;Tech Assessment;Total Atmospheric CO2-EQ Reduction (GT);NET COST (BILLIONS US $);SAVINGS (BILLIONS US $)
_page_name;_page;_rank;_sector;_link;_link_assessment;_gt;_cost;_savings
Refrigerant Management;164;1;Materials;http://www.drawdown.org/solutions/materials/refrigerant-management;http://www.drawdown.org/sites/default/files/tech_references/References%20REFRIGERANT%20MANAGEMENT.pdf;89.74;N/A;($902.77)
Wind Turbines (Onshore);2;2;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/wind-turbines-onshore;http://www.drawdown.org/sites/default/files/tech_references/References%20WIND%20TURBINES_0.pdf;84.6;$1,225.37 ;$7,425.00 
Reduced Food Waste;42;3;Food;http://www.drawdown.org/solutions/food/reduced-food-waste;http://www.drawdown.org/sites/default/files/tech_references/References%20REDUCED%20FOOD%20WASTE.pdf;70.53;N/A;N/A
Plant Rich Diet;39;4;Food;http://www.drawdown.org/solutions/food/plant-rich-diet;http://www.drawdown.org/sites/default/files/tech_references/References%20PLANT%20RICH%20DIET.pdf;66.11;N/A;N/A
Tropical Forests;114;5;Land Use;http://www.drawdown.org/solutions/land-use/tropical-forests;http://www.drawdown.org/sites/default/files/tech_references/References%20TROPICAL%20FORESTS.pdf;61.23;N/A;N/A
Educating Girls;80;6;Women and Girls;http://www.drawdown.org/solutions/women-and-girls/educating-girls;http://www.drawdown.org/sites/default/files/tech_references/References%20EDUCATING%20GIRLS_0.pdf;59.6;N/A;N/A
Family Planning;78;7;Women and Girls;http://www.drawdown.org/solutions/women-and-girls/family-planning;http://www.drawdown.org/sites/default/files/tech_references/References%20FAMILY%20PLANNING.pdf;59.6;N/A;N/A
Solar Farms;8;8;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/solar-farms;http://www.drawdown.org/sites/default/files/tech_references/References%20SOLAR%20FARMS.pdf;36.9;($80.60);$5,023.84 
Silvopasture;50;9;Food;http://www.drawdown.org/solutions/food/silvopasture;http://www.drawdown.org/sites/default/files/tech_references/References%20SILVOPASTURE_0.pdf;31.19;$41.59 ;$699.37 
Rooftop Solar;10;10;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/rooftop-solar;http://www.drawdown.org/sites/default/files/tech_references/References%20ROOFTOP%20SOLAR.pdf;24.6;$453.14 ;$3,457.63 
Regenerative Agriculture;54;11;Food;http://www.drawdown.org/solutions/food/regenerative-agriculture;http://www.drawdown.org/sites/default/files/tech_references/References%20REGENERATIVE%20AGRICULTURE.pdf;23.15;$57.22 ;$1,928.10 
Temperate Forests;128;12;Land Use;http://www.drawdown.org/solutions/land-use/temperate-forests;http://www.drawdown.org/sites/default/files/tech_references/References%20TEMPERATE%20FORESTS.pdf;22.61;N/A;N/A
Peatlands;123;13;Land Use;http://www.drawdown.org/solutions/land-use/afforestation;http://www.drawdown.org/sites/default/files/tech_references/References%20AFFORESTATION.pdf;21.57;N/A;N/A
Tropical Staple Trees;66;14;Food;http://www.drawdown.org/solutions/food/tropical-staple-trees;http://www.drawdown.org/sites/default/files/tech_references/References%20TROPICAL%20STAPLE%20TREES.pdf;20.19;$120.07 ;$626.97 
Afforestation;132;15;Land Use;http://www.drawdown.org/solutions/land-use/afforestation;http://www.drawdown.org/sites/default/files/tech_references/References%20AFFORESTATION.pdf;18.06;$29.44 ;$392.33 
Conservation Agriculture;60;16;Food;http://www.drawdown.org/solutions/food/conservation-agriculture;http://www.drawdown.org/sites/default/files/tech_references/References%20CONSERVATION%20AGRICULTURE.pdf;17.35;$37.53 ;$2,119.07 
Tree Intercropping;58;17;Food;http://www.drawdown.org/solutions/food/tree-intercropping;http://www.drawdown.org/sites/default/files/tech_references/References%20TREE%20INTERCROPPING_0.pdf;17.2;$146.99 ;$22.10 
Geothermal;6;18;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/geothermal;http://www.drawdown.org/sites/default/files/tech_references/References%20GEOTHERMAL.pdf;16.6;($155.48);$1,024.34 
Managed Grazing;72;19;Food;http://www.drawdown.org/solutions/food/managed-grazing;http://www.drawdown.org/sites/default/files/tech_references/References%20MANAGED%20GRAZING.pdf;16.34;$50.48 ;$735.27 
Nuclear;18;20;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/nuclear;http://www.drawdown.org/sites/default/files/tech_references/References%20NUCLEAR.pdf;16.09;$0.88 ;$1,713.40 
Clean Cookstoves;44;21;Food;http://www.drawdown.org/solutions/food/clean-cookstoves;http://www.drawdown.org/sites/default/files/tech_references/References%20CLEAN%20COOKSTOVES.pdf;15.81;$72.16 ;$166.28 
Wind Turbines (Offshore);2;22;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/wind-turbines-offshore;http://www.drawdown.org/sites/default/files/tech_references/References%20WIND%20TURBINES.pdf;15.15;$545.30 ;$762.50 
Farmland Restoration;41;23;Food;http://www.drawdown.org/solutions/food/farmland-restoration;http://www.drawdown.org/sites/default/files/tech_references/References%20FARMLAND%20RESTORATION.pdf;14.08;$72.24 ;$1,342.47 
Improved Rice Cultivation;48;24;Food;http://www.drawdown.org/solutions/food/improved-rice-cultivation;http://www.drawdown.org/sites/default/files/tech_references/References%20IMPROVED%20RICE%20PRODUCTION_0.pdf;11.34;N/A;$519.06 
Concentrated Solar;14;25;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/concentrated-solar;http://www.drawdown.org/sites/default/files/tech_references/References%20CONCENTRATED%20SOLAR.pdf;10.9;$1,319.70 ;$413.85 
Electric Vehicles;142;26;Transport;http://www.drawdown.org/solutions/transport/electric-vehicles;http://www.drawdown.org/sites/default/files/tech_references/References%20ELECTRIC%20VEHICLES.pdf;10.8;$14,148.00 ;$9,726.40 
District Heating;99;27;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/district-heating;http://www.drawdown.org/sites/default/files/tech_references/References%20DISTRICT%20HEATING.pdf;9.38;$457.10 ;$3,543.50 
Multistrata Agroforestry;46;28;Food;http://www.drawdown.org/solutions/food/multistrata-agroforestry;http://www.drawdown.org/sites/default/files/tech_references/References%20MULTISTRATA%20AGROFORESTRY.pdf;9.28;$26.76 ;$709.75 
Wave and Tidal;12;29;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/wave-and-tidal;http://www.drawdown.org/sites/default/files/tech_references/References%20WAVE%20AND%20TIDAL.pdf;9.2;$411.84 ;($1,004.70)
Methane Digesters (Large);26;30;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/methane-digesters-large;http://www.drawdown.org/sites/default/files/tech_references/References%20METHANE%20DIGESTERS.pdf;8.4;$201.41 ;$148.83 
Insulation;101;31;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/insulation;http://www.drawdown.org/solutions/buildings-and-cities/insulation;8.27;$3,655.92 ;$2,513.33 
Ships;140;32;Transport;http://www.drawdown.org/solutions/transport/ships;http://www.drawdown.org/sites/default/files/tech_references/References%20OCEANIC%20FREIGHT%20EFFICIENCY.pdf;7.87;$915.93 ;$424.38 
LED Lighting (Household);92;33;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/led-lighting-household;http://www.drawdown.org/sites/default/files/tech_references/References%20LED%20LIGHTING_0.pdf;7.81;$323.52 ;$1,729.54 
Biomass;16;34;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/biomass;http://www.drawdown.org/sites/default/files/tech_references/References%20BIOMASS%20ENERGY.pdf;7.5;$402.31 ;$519.35 
Bamboo;117;35;Land Use;http://www.drawdown.org/solutions/land-use/bamboo;http://www.drawdown.org/sites/default/files/tech_references/References%20BAMBOO.pdf;7.22;$23.79 ;$264.80 
Alternative Cement;162;36;Materials;http://www.drawdown.org/solutions/materials/alternative-cement;http://www.drawdown.org/sites/default/files/tech_references/References%20ALTERNATIVE%20CEMENT.pdf;6.69;($273.90);N/A
Mass Transit;136;37;Transport;http://www.drawdown.org/solutions/transport/mass-transit;http://www.drawdown.org/sites/default/files/tech_references/References%20MASS%20TRANSIT.pdf;6.57;N/A;$2,379.73 
Forest Protection;108;38;Land Use;http://www.drawdown.org/solutions/land-use/forest-protection;http://www.drawdown.org/sites/default/files/tech_references/References%20FOREST%20PROTECTION.pdf;6.2;N/A;N/A
Indigenous Peoples Land Management;124;39;Land Use;http://www.drawdown.org/solutions/land-use/indigenous-peoples%E2%80%99-land-management;http://www.drawdown.org/sites/default/files/tech_references/References%20INDIGENOUS%20PEOPLES%20LAND%20MANAGEMENT.pdf;6.19;N/A;N/A
Trucks;152;40;Transport;http://www.drawdown.org/solutions/transport/trucks;http://www.drawdown.org/sites/default/files/tech_references/References%20TRUCK%20FUEL%20EFFICIENCY.pdf;6.18;$543.54 ;$2,781.63 
Solar Water;36;41;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/solar-water;http://www.drawdown.org/sites/default/files/tech_references/References%20SOLAR%20HOT%20WATER.pdf;6.08;$2.99 ;$773.65 
Heat Pumps;94;42;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/heat-pumps;http://www.drawdown.org/sites/default/files/tech_references/References%20HEAT%20PUMPS.pdf;5.2;$118.71 ;$1,546.66 
Airplanes;150;43;Transport;http://www.drawdown.org/solutions/transport/airplanes;http://www.drawdown.org/sites/default/files/tech_references/References%20AIRPLANE%20FUEL%20EFFICIENCY.pdf;5.05;$662.42 ;$3,187.80 
LED Lighting (Commercial);93;44;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/led-lighting-commercial;http://www.drawdown.org/sites/default/files/tech_references/References%20LED%20LIGHTING.pdf;5.04;($205.05);$1,089.63 
Building Automation;106;45;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/building-automation;http://www.drawdown.org/sites/default/files/tech_references/References%20BUILDING%20AUTOMATION.pdf;4.62;$68.12 ;$880.55 
Water Saving  Home;170;46;Materials;http://www.drawdown.org/solutions/materials/water-saving-home;http://www.drawdown.org/solutions/materials/water-saving-home;4.61;$72.44 ;$1,800.12 
Bioplastic;168;47;Materials;http://www.drawdown.org/solutions/materials/bioplastic;http://www.drawdown.org/sites/default/files/tech_references/References%20BIOPLASTIC.pdf;4.3;$19.15 ;N/A
In Stream Hydro;27;48;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/in-stream-hydro;http://www.drawdown.org/sites/default/files/tech_references/References%20IN-STREAM%20HYDRO.pdf;4;$202.53 ;$568.36 
Cars;148;49;Transport;http://www.drawdown.org/solutions/transport/cars;http://www.drawdown.org/sites/default/files/tech_references/References%20CAR%20FUEL%20EFFICIENCY.pdf;4;($598.69);$1,761.72 
Cogeneration;22;50;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/cogeneration;http://www.drawdown.org/sites/default/files/tech_references/References%20COGENERATION.pdf;3.97;$279.25 ;$566.93 
Perennial Biomass;121;51;Land Use;http://www.drawdown.org/solutions/land-use/perennial-biomass;http://www.drawdown.org/sites/default/files/tech_references/References%20PERENNIAL%20BIOMASS.pdf;3.33;$77.94 ;$541.89 
Coastal Wetlands;112;52;Land Use;http://www.drawdown.org/solutions/land-use/coastal-wetlands;http://www.drawdown.org/sites/default/files/tech_references/References%20COASTAL%20WETLANDS.pdf;3.19;N/A;N/A
System of Rice Intensification;48;53;Food;http://www.drawdown.org/solutions/food/system-rice-intensification;http://www.drawdown.org/sites/default/files/tech_references/References%20SYSTEM%20OF%20RICE%20INTENSIFICATION.pdf;3.13;N/A;$677.83 
Walkable Cities;86;54;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/walkable-cities;http://www.drawdown.org/sites/default/files/tech_references/References%20WALKABLE%20CITIES.pdf;2.92;N/A;$3,278.24 
Household Recycling;158;55;Materials;http://www.drawdown.org/solutions/materials/household-recycling;http://www.drawdown.org/sites/default/files/tech_references/References%20HOUSEHOLD%20%26%20INDUSTRIAL%20RECYCLING_0.pdf;2.77;$366.92 ;$71.13 
Industrial Recycling;160;56;Materials;http://www.drawdown.org/solutions/materials/industrial-recycling;http://www.drawdown.org/sites/default/files/tech_references/References%20HOUSEHOLD%20%26%20INDUSTRIAL%20RECYCLING.pdf;2.77;$366.92 ;$71.13 
Smart Thermostats;98;57;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/smart-thermostats;http://www.drawdown.org/sites/default/files/tech_references/References%20SMART%20THERMOSTATS.pdf;2.62;$74.16 ;$640.10 
Landfill Methane;100;58;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/landfill-methane;http://www.drawdown.org/sites/default/files/tech_references/References%20LANDFILL%20METHANE.pdf;2.5;($1.82);$67.57 
Bike Infrastructure;88;59;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/bike-infrastructure;http://www.drawdown.org/sites/default/files/tech_references/References%20BIKE%20INFRASTRUCTURE.pdf;2.31;($2,026.97);$400.47 
Composting;62;60;Food;http://www.drawdown.org/solutions/food/composting;http://www.drawdown.org/sites/default/files/tech_references/References%20COMPOSTING.pdf;2.28;($63.72);($60.82)
Smart Glass;96;61;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/smart-glass;http://www.drawdown.org/sites/default/files/tech_references/References%20SMART%20GLASS.pdf;2.19;$932.30 ;$325.10 
Women Smallholders;76;62;Women and Girls;http://www.drawdown.org/solutions/women-and-girls/women-smallholders;http://www.drawdown.org/sites/default/files/tech_references/References%20WOMEN%20SMALLHOLDERS_0.pdf;2.06;N/A;$87.60 
Telepresence;154;63;Transport;http://www.drawdown.org/solutions/transport/telepresence;http://www.drawdown.org/sites/default/files/tech_references/References%20TELEPRESENCE.pdf;1.99;$127.72 ;$1,310.59 
Methane Digesters (Small);26;64;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/methane-digesters-small;http://www.drawdown.org/sites/default/files/tech_references/References%20METHANE%20DIGESTERS_0.pdf;1.9;$15.50 ;$13.90 
Nutrient Management;56;65;Food;http://www.drawdown.org/solutions/food/nutrient-management;http://www.drawdown.org/sites/default/files/tech_references/References%20NUTRIENT%20MANAGEMENT.pdf;1.81;N/A;$102.32 
High speed Rail;138;66;Transport;http://www.drawdown.org/solutions/transport/high-speed-rail;http://www.drawdown.org/sites/default/files/tech_references/References%20HIGH%20SPEED%20RAIL.pdf;1.52;$1,038.42 ;$368.10 
Farmland Irrigation;68;67;Food;http://www.drawdown.org/solutions/food/farmland-irrigation;http://www.drawdown.org/sites/default/files/tech_references/References%20FARMLAND%20IRRIGATION_0.pdf;1.33;$216.16 ;$429.67 
Waste to Energy;28;68;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/waste-to-energy;http://www.drawdown.org/sites/default/files/tech_references/References%20WASTE-TO-ENERGY_0.pdf;1.1;$36.00 ;$19.82 
Electric Bikes;146;69;Transport;http://www.drawdown.org/solutions/transport/electric-bikes;http://www.drawdown.org/sites/default/files/tech_references/References%20ELECTRIC%20BIKES.pdf;0.96;$106.75 ;$226.07 
Recycled Paper;166;70;Materials;http://www.drawdown.org/solutions/materials/recycled-paper;http://www.drawdown.org/sites/default/files/tech_references/References%20RECYCLED%20PAPER.pdf;0.9;$573.48 ;N/A
Water Distribution;104;71;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/water-distribution;http://www.drawdown.org/sites/default/files/tech_references/References%20WATER%20DISTRIBUTION.pdf;0.87;$137.37 ;$903.11 
Biochar;64;72;Food;http://www.drawdown.org/solutions/food/biochar;http://www.drawdown.org/sites/default/files/tech_references/References%20BIOCHAR.pdf;0.81;N/A;N/A
Green Roofs;90;73;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/green-roofs;http://www.drawdown.org/sites/default/files/tech_references/References%20GREEN%20ROOFS.pdf;0.77;$1,393.29 ;$988.46 
Trains;156;74;Transport;http://www.drawdown.org/solutions/transport/trains;http://www.drawdown.org/sites/default/files/tech_references/References%20TRAIN%20FUEL%20EFFICIENCY.pdf;0.52;$808.64 ;$313.86 
Ridesharing;144;75;Transport;http://www.drawdown.org/solutions/transport/ridesharing;http://www.drawdown.org/sites/default/files/tech_references/References%20RIDESHARING.pdf;0.32;N/A;$185.56 
Micro Wind;23;76;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/micro-wind;http://www.drawdown.org/sites/default/files/tech_references/References%20MICRO%20WIND.pdf;0.2;$36.12 ;$19.90 
Energy Storage (Distributed);34;77;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/energy-storage-distributed;http://www.drawdown.org/sites/default/files/tech_references/References%20ENERGY%20STORAGE%20%28DISTRIBUTED%29%20.pdf;N/A;N/A;N/A
Energy Storage (Utilities);32;77;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/energy-storage-utilities;http://www.drawdown.org/sites/default/files/tech_references/References%20ENERGY%20STORAGE%20%28UTILITIES%29.pdf;N/A;N/A;N/A
Grid Flexibility;30;77;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/grid-flexibility;http://www.drawdown.org/sites/default/files/tech_references/References%20GRID%20FLEXIBILITY.pdf;N/A;N/A;N/A
Microgrids;5;78;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/microgrids;http://www.drawdown.org/sites/default/files/tech_references/References%20MICROGRIDS.pdf;N/A;N/A;N/A
Net Zero Buildings;84;79;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/net-zero-buildings;http://www.drawdown.org/sites/default/files/tech_references/References%20NET%20ZERO%20BUILDINGS.pdf;N/A;N/A;N/A
Retrofitting;102;80;Buildings and Cities;http://www.drawdown.org/solutions/buildings-and-cities/retrofitting;http://www.drawdown.org/sites/default/files/tech_references/References%20RETROFITTING.pdf;N/A;N/A;N/A
Hyperloop;198;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/hyperloop;;;;
Smart Highways;196;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/smart-highways;;;;
Artificial Leaf;182;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/artificial-leaf;;;;
Industrial Hemp;202;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/industrial-hemp;;;;
Intensive Silvopasture;181;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/intensive-silvopasture;;;;
A Cow Walks Onto A Beach;204;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/cow-walks-beach;;;;
Repopulating the Mammoth Steppe;172;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/repopulating-mammoth-steppe;;;;
Pasture Cropping;175;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/pasture-cropping;;;;
Enhanced Wathering of Minerals;176;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/enhanced-weathering-minerals;;;;
Marine Permaculture;178;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/marine-permaculture;;;;
Autonomous Vehicles;184;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/autonomous-vehicles;;;;
Solid State Wave Energy;187;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/solid-state-wave-energy;;;;
Living Buildings;188;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/living-buildings;;;;
Direct Air Caputre;192;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/direct-air-capture;;;;
Hydrogen Boron Fusion;194;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/hydrogen-boron-fusion;;;;
Microbial Farming;200;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/microbial-farming;;;;
Ocean Farming;206;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/ocean-farming;;;;
Smart Grids;209;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/smart-grids;;;;
Building with Wood;210;;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/building-wood;;;;
